,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
BCS1L,0.8820569380148378,4.97903719763928e-10,3.0696952710537397e-09,8.512904734838262,Not Significant,-0.8997676389548482,1.9668661690021292e-14,1.3242632569950298e-13,12.878025670715587,Not Significant
CYC1,0.3143558923517204,0.0380667360665052,0.0492277662559658,1.307789870193469,Not Significant,-1.6844004354383504,1.9866962013305685e-15,1.6853725150488906e-14,13.773304092804675,Down
LYRM7,-1.2269487369644487,3.916428971618323e-09,1.974679952957106e-08,7.704503282785813,Down,-1.2506078788188295,4.2376433399251014e-14,2.671691673245329e-13,12.573213663088152,Down
MT-CYB,-1.2843145313627993,0.0010430537216438,0.0017275112035094,2.7625791273942446,Down,-0.665767616937067,0.0291813189326611,0.0376112368462196,1.4246823845606935,Not Significant
TTC19,-0.4254934970526491,0.0003439227636799,0.0006187478916152,3.208486267915239,Not Significant,-0.3174199612677506,0.0009217255780403,0.0014433942442939,2.8406150308356377,Not Significant
UQCC1,0.2465595112825127,0.0013116847099419,0.0021385194639837,2.669886792607422,Not Significant,-1.126362901772445,3.707547640910474e-12,1.7030831153679223e-11,10.768764156696925,Down
UQCC2,-0.0365919821188285,0.7508808350671757,0.777747638542744,0.1091612988555977,Not Significant,-0.9830505490967724,1.0773175316062894e-15,9.828043984653695e-15,14.007532908536112,Not Significant
UQCC3,0.7746871054480771,2.416914833517131e-07,8.148594388504544e-07,6.088917299476418,Not Significant,-0.4230591161837521,0.0399785007228515,0.0506200379495449,1.2956775335896222,Not Significant
UQCR10,-0.2022621977643055,0.2370173959066865,0.2717324736956822,0.5658584576288446,Not Significant,-1.6677457585943285,1.905619820222969e-08,5.34076378801855e-08,7.2723966296378,Down
UQCR11,0.413359618883085,0.0060290835827292,0.0088473398415752,2.0531872904084074,Not Significant,-3.011440368474956,1.184690005495061e-16,1.4174066973790908e-15,14.848505519487643,Down
UQCRB,-1.0959725021484523,1.370423025124309e-05,3.147661093274576e-05,4.50201203401441,Down,-2.2947922139361543,1.905578265621636e-18,4.538939168616844e-17,16.34304563768259,Down
UQCRC1,0.0633079135860938,0.6909387451465939,0.7208488938076623,0.1421557636623047,Not Significant,-1.9353087373043163,1.1102897277439197e-17,1.9197684013432656e-16,15.716751160924284,Down
UQCRC2,-0.5518225022968792,0.0009437826774884,0.0015743776607084,2.8028910811967016,Not Significant,-2.07744364057302,2.2018138747636296e-17,3.3709345260085443e-16,15.472249682741367,Down
UQCRFS1,-0.1161731899692313,0.575969995413622,0.6132884191731137,0.2123352360897752,Not Significant,-2.2338260340784952,5.1522530263193165e-17,6.87561560909715e-16,15.162688411146473,Down
UQCRH,-0.6594634904632422,0.0137849317973942,0.0190938268839473,1.7191070193267468,Not Significant,-2.2159083799139165,2.743610692527829e-15,2.2169710272650824e-14,13.65423998247465,Down
UQCRQ,0.0532728304995764,0.7584721523487807,0.7848842796878909,0.1051943692389991,Not Significant,-1.6991536133873235,5.8349057815726194e-15,4.4011256724919855e-14,13.356436230144045,Down
