gene_name,log2FC,pvalue,adjustedpvalue,-log(adjustedp),category
A1BG,-0.1940433739595786,0.5273141267265717,0.5712002701767187,0.24321159581131074,Not Significant
A2M,2.3859125752154924,2.7594178776529855e-07,9.847104392304702e-07,6.006691457961345,Up
AAAS,1.0174211283101826,8.740346314370551e-07,2.8095165529983705e-06,5.551368404802513,Up
AACS,-1.6786073385447011,1.7788533067406037e-13,2.9827516560635507e-12,11.525382904496157,Down
AADAT,-0.12281174093839553,0.36355411242421765,0.4099903871668609,0.3872263258396049,Not Significant
AAED1,1.209738254522783,7.044716219521765e-15,1.8808003890791955e-13,12.725657294041065,Up
AAGAB,-0.5729137048720645,0.002928096867698235,0.004812014330373902,2.3176730879836804,Not Significant
AAK1,-1.5657459965123834,4.0268336391494316e-17,2.6341767584929466e-15,14.579355086374042,Down
AAMDC,0.9450981561675249,1.8717500521252385e-08,8.790680664386784e-08,7.0559774961045685,Not Significant
AAMP,0.20806598267924414,0.07665336039842739,0.09842033554088167,1.0069151586749825,Not Significant
AAR2,1.0847985554053778,9.960497725321196e-18,9.039824692332048e-16,15.04383999163648,Up
AARS,-0.5297563081282988,0.00045133053445897014,0.0008562530704594473,3.067397858149207,Not Significant
AARS2,0.1336093833696026,0.1604286153576048,0.19455373433399673,0.7109604287765401,Not Significant
AARSD1,0.09463371210532401,0.4812968717880105,0.5265621944387943,0.27855032513122446,Not Significant
AASDHPPT,-0.9888913669646904,0.0012040289646685928,0.002114976074990655,2.6746945410824647,Not Significant
AASS,1.452103458961215,3.155364582331899e-07,1.1149471344234146e-06,5.952745724340031,Up
AATF,0.920783598387807,1.5272095076699512e-13,2.6254451502162265e-12,11.58079705039435,Not Significant
AATK,-2.0417213497427937,2.992432751458249e-10,2.1244374586462577e-09,8.672756049589585,Down
ABAT,-0.6300328444912786,0.000593094048243558,0.0010993246443432572,2.958874036032772,Not Significant
ABCA1,3.453064338485653,5.474911223855268e-12,6.02120695077707e-11,10.22031644569836,Up
ABCA2,-1.3242661618096427,2.7143438037338763e-06,7.848536015733372e-06,5.105211344475472,Down
ABCA3,-1.0868110610111437,1.1207895217528086e-14,2.7338580247307006e-13,12.56322404305168,Down
ABCA5,-2.00743002019815,4.15537675156886e-11,3.5932416648330214e-10,9.444513573172745,Down
ABCA8,0.18597339261673973,0.6868498722970212,0.7247643881345126,0.13980315420628908,Not Significant
ABCB1,-0.7380843299669806,0.00966768100072293,0.01449936257276802,1.838651089986712,Not Significant
ABCB10,-0.10894246494572002,0.15065125921795589,0.18344745380897953,0.7364883117324218,Not Significant
ABCB6,0.2861112736715352,0.237344048791,0.27776532847589847,0.5563219651906588,Not Significant
ABCB7,0.8520923563661498,5.571971069892169e-08,2.3574983854722264e-07,6.6275485960161875,Not Significant
ABCB8,0.14105168116899947,0.33231246264878345,0.37805937309134324,0.422439990159924,Not Significant
ABCB9,-1.3267343522581054,1.7480813557541523e-09,1.0426389329702387e-08,7.981866062203505,Down
ABCC1,0.5591448821322658,0.0003858734594618345,0.0007401540804681114,3.1306778622535014,Not Significant
ABCC3,4.7566503113378324,6.97972037930352e-09,3.581951253240125e-08,7.445880328758589,Up
ABCC4,1.139244596029597,2.889951826383707e-10,2.0618537322230497e-09,8.685742146783602,Up
ABCD1,1.8922047565688,1.9367179357351866e-08,9.053594656425183e-08,7.043178953447848,Up
ABCD2,-1.6691254557070803,1.0720836143822956e-08,5.309818255303464e-08,7.274920343715071,Down
ABCD3,0.6726358961124568,5.504380728844777e-11,4.6286420252405917e-10,9.334546405839426,Not Significant
ABCD4,0.5571330981521712,0.055450045560111835,0.07298152819511267,1.136787046976358,Not Significant
ABCE1,0.37456126742596396,0.033422721899137454,0.04575978532371714,1.3395160216482431,Not Significant
ABCF1,0.8254612358846387,4.6571932208207575e-11,3.975980042927823e-10,9.400555804171121,Not Significant
ABCF2,0.30840627395305376,0.006542118936406644,0.010111277411070962,1.9951939742275855,Not Significant
ABCF3,-0.09287824462374417,0.34835119273297255,0.3943908648676068,0.4040731530197119,Not Significant
ABCG1,-0.019290755147032712,0.9132433640213783,0.9259272996327864,0.033423111166653655,Not Significant
ABCG2,-0.23730830046573814,0.41724516454543814,0.4640971389677314,0.3333911088797348,Not Significant
ABHD10,-0.5301571233363447,0.0026753284465012694,0.004429130447009661,2.3536815286603296,Not Significant
ABHD11,0.42195575769363103,0.0007929573185291002,0.0014380291677519633,2.842232305006503,Not Significant
ABHD12,-0.09625627053763353,0.43885115601651364,0.48470414929397637,0.3145232624976561,Not Significant
ABHD13,-0.8377392298541224,6.074767398310246e-10,4.018201363793658e-09,8.395968303278863,Not Significant
ABHD14A-ACY1,0.3188581450862831,0.2247877488182061,0.26426791709588143,0.5779555582983598,Not Significant
ABHD14B,1.039884528813083,1.7736581150977924e-05,4.3825930467243464e-05,4.358268854640905,Up
ABHD16A,0.6652345844938079,4.551700259825726e-05,0.00010313501668350059,3.98659385682636,Not Significant
ABHD17A,0.2446062603685739,0.08035019334227604,0.10286540192274608,0.9877306726686418,Not Significant
ABHD17B,-0.5775485181901381,0.0025458289311009394,0.004228636546069392,2.373799641128762,Not Significant
ABHD17C,0.05077642768816304,0.7516028652598769,0.7832468464495707,0.1061013450224551,Not Significant
ABHD2,0.30577518623550404,0.05325957662196552,0.07026405920706827,1.1532667643033456,Not Significant
ABHD3,0.9655038149077573,3.6327466536861037e-05,8.418746213304304e-05,4.0747525822756465,Not Significant
ABHD4,1.6630070583957348,1.8160683417436196e-06,5.441722925260329e-06,5.264263574848418,Up
ABHD5,0.9931841875262499,1.0979390767237691e-08,5.421881499468259e-08,7.265849978583168,Not Significant
ABHD6,-0.44237651143194867,0.005774016424759748,0.009004247904493763,2.045552556533404,Not Significant
ABI1,-0.5098077768200007,0.00011225778231508753,0.00023604360238826795,3.6270077659809794,Not Significant
ABI2,-0.7219142597949926,8.531429054811164e-06,2.248707909423539e-05,4.6480669525518605,Not Significant
ABI3,2.1473649404221806,2.9695732081759225e-06,8.515650583308923e-06,5.069782166967639,Up
ABI3BP,1.2660709574578348,0.003212709090266766,0.005245515619991476,2.2802118153997286,Up
ABL1,1.1624733586288052,1.8870044861513098e-06,5.632498723996532e-06,5.249298897990519,Up
ABL2,-0.0011809108846492222,0.9892946332771285,0.9911640115001286,0.003854475286808306,Not Significant
ABLIM1,-0.8251905802499095,1.3508783958719265e-06,4.161696929667825e-06,5.380729549920973,Not Significant
ABLIM2,-2.890016311374911,3.440469935870392e-21,1.7329647066979162e-18,17.761210281972996,Down
ABLIM3,-1.0671653509615098,3.6196563589582597e-09,1.9882452650024814e-08,7.70153004314441,Down
ABR,-1.7046393555443302,1.3064897738253714e-17,1.0877337174807267e-15,14.96347740903382,Down
ABRACL,-0.3407346840307284,0.12946052233008515,0.1593774046136231,0.7975732497353842,Not Significant
ABT1,0.6751517540458636,0.00012416483253096074,0.0002589723649931467,3.586746577120736,Not Significant
ACAA1,0.7046278479707695,2.0647760394099426e-05,5.024594814544029e-05,4.298898954186603,Not Significant
ACAA2,0.5521734443747945,0.0022975704764844796,0.0038486406684577067,2.414692635278727,Not Significant
ACACA,-0.30085040751575676,0.020072108684595358,0.028479777871635723,1.5454634023069187,Not Significant
ACAD10,0.8668483607256707,3.862386378596617e-05,8.89974391079193e-05,4.050622489953971,Not Significant
ACAD11,0.6589005846399267,0.014303753487553502,0.020877428663230075,1.6803229915958706,Not Significant
ACAD8,0.39719933618987824,0.0005687574993570497,0.0010569383967022538,2.975950324662239,Not Significant
ACAD9,0.4907406828188634,1.6687219234587032e-09,1.0036241586222672e-08,7.998428893162467,Not Significant
ACADL,-0.8868103864042194,0.0035086818151434124,0.005701961704428898,2.243975703829621,Not Significant
ACADM,-0.20580401582615337,0.01566711929307879,0.02267029011181783,1.6445429221692285,Not Significant
ACADS,0.5646719625721524,0.0002034196326121362,0.0004087055003858516,3.388589517485007,Not Significant
ACADSB,-1.5224237839394732,4.666772451132977e-11,3.9807845616184256e-10,9.400031325614112,Down
ACADVL,0.4954037852686959,0.01655208553303588,0.02382762355813139,1.6229192697414703,Not Significant
ACAN,1.0033072123956988,0.006081422374501638,0.009454359413692826,2.0243678917288404,Up
ACAP2,0.1586059908135411,0.11660016711780964,0.1446945163272745,0.8395479275812568,Not Significant
ACAP3,-0.23797028549245525,0.24485937815674025,0.28569763441637724,0.5440933555716396,Not Significant
ACAT1,-0.07311918160987929,0.45341546363820334,0.49898067276183555,0.30191627577028113,Not Significant
ACAT2,0.01923764037105613,0.9370322889700757,0.9459528288490372,0.024130519709564813,Not Significant
ACBD3,0.3993963378556913,0.001439428650111888,0.002498415613581523,2.6023353146923993,Not Significant
ACBD4,-0.6218580975132859,0.0037539778206999675,0.00606109956901544,2.217448581537129,Not Significant
ACBD5,-0.497393900746566,3.4462624970681673e-06,9.754888562929114e-06,5.010777687497694,Not Significant
ACBD7,-2.85519072783287,8.916417408624039e-11,7.174440013935987e-10,9.144211991227905,Down
ACD,0.2696390534467561,0.016280631071864973,0.023487194245735032,1.6291688604626535,Not Significant
ACE,0.6281525584506102,0.01885100327680148,0.026875885509552517,1.570637217659527,Not Significant
ACHE,-1.0149149722497786,0.000521488409857165,0.0009766637369215618,3.0102549371376086,Down
ACIN1,0.5868426730557914,0.0007037271042669961,0.00128944104190355,2.8895985106499875,Not Significant
ACLY,0.9659811195875712,7.261950629823598e-07,2.370488610867298e-06,5.625162126929867,Not Significant
ACO1,0.375721238231975,0.012824037137864997,0.018884570987699457,1.7238928768566375,Not Significant
ACO2,-0.930092253956726,8.351121630792543e-13,1.1495033921650617e-11,10.939489742797143,Not Significant
ACOT1,-0.5306620362316341,0.0082795569802845,0.012591826240849344,1.8999112779298148,Not Significant
ACOT11,-0.9313109107639743,0.004733762722297688,0.007508013245011034,2.124474969903897,Not Significant
ACOT13,-0.2509163864815527,0.022438062632108603,0.03158321125553473,1.5005437147439353,Not Significant
ACOT7,-1.5160513854649977,1.3074012938481518e-12,1.7016486607527496e-11,10.769130103738709,Down
ACOT8,-0.02444507551929931,0.7360129460915007,0.7699474993692397,0.11353888718021693,Not Significant
ACOT9,0.3631339370247275,1.9791808169741063e-05,4.833519406108399e-05,4.315736533417659,Not Significant
ACOX1,0.15937726949342235,0.036074067263319715,0.04909621097145134,1.3089520235122072,Not Significant
ACOX2,1.1795358528766453,0.0014988042817809248,0.0025925402360338318,2.5862744946681917,Up
ACOX3,-0.010347238666987835,0.8920379658900812,0.9077162089269372,0.04204990936601448,Not Significant
ACP1,0.013884501491038037,0.9304481514121714,0.9406256575339904,0.02658317913718938,Not Significant
ACP2,0.6858287596817227,1.367117867836688e-05,3.4543128669643324e-05,4.461638329697733,Not Significant
ACP5,5.353281286205151,0.0023623771133457964,0.003949317464295644,2.403477954273023,Up
ACP6,0.719520565256822,0.033583246769156666,0.04596706901528319,1.337553187158333,Not Significant
ACPP,1.8739987198750185,2.541132806733167e-05,6.076281009976246e-05,4.216362149513007,Up
ACSBG1,-1.0304342249127814,0.0027660670249711698,0.004568840663971071,2.3401939874826523,Down
ACSF2,0.6879130771295383,0.009163329198874628,0.013802538628807266,1.8600410287374085,Not Significant
ACSF3,0.22214495022330816,0.10205664600394612,0.12817836327686738,0.8921852782689059,Not Significant
ACSL1,0.6365776141064927,0.007567436180235778,0.01158048793554538,1.9362731415368615,Not Significant
ACSL3,-0.9750851455826037,2.9566357345323394e-05,6.985259941294274e-05,4.15581742792214,Not Significant
ACSL4,-0.9010333735376221,0.0005008422056191335,0.0009404444323219295,3.026666860346356,Not Significant
ACSL5,-0.4266014347124294,0.2624931582211468,0.30443887588301094,0.5164998903264488,Not Significant
ACSL6,-2.612841327286091,7.736573819491269e-17,4.407610103648117e-15,14.355796830064474,Down
ACSM5,1.4130116223806493,0.0007853329689423983,0.0014252286667493644,2.846115450925389,Up
ACSS1,-0.258882757552648,0.39680855698189194,0.44332365565438386,0.3532790942227421,Not Significant
ACSS2,-0.04879189943703466,0.735914138244692,0.7699240864759609,0.11355209359359662,Not Significant
ACSS3,0.5432547974170152,0.11196374614514874,0.13940461978324414,0.8557228337478687,Not Significant
ACTA1,-0.6033738282789525,0.006562403901191088,0.010137963027234936,1.9940492969651646,Not Significant
ACTB,1.263161753346271,2.465781761604184e-07,8.903328124157901e-07,6.050447620796022,Up
ACTBL2,0.4912159214657251,0.6369193824641087,0.6773277587821631,0.1692011254288068,Not Significant
ACTG1,1.224014571056852,2.296305279033317e-07,8.351256094217197e-07,6.07824819831755,Up
ACTL6A,2.5744796902572578,1.0339151662667654e-14,2.5717682432028135e-13,12.58976817075292,Up
ACTL6B,-2.7413280280980477,2.5644614104733196e-07,9.21340379782747e-07,6.035579894502601,Down
ACTN1,0.4497666972614489,0.004502846437949345,0.0071650094796875214,2.1447832306716252,Not Significant
ACTN2,-0.6433301121348229,0.0014393167643973926,0.002498415613581523,2.6023353146923993,Not Significant
ACTN3,-0.8128287161444003,0.19909255124783012,0.23657211149689086,0.6260364538623024,Not Significant
ACTN4,0.6159313877458956,1.8010091655073093e-05,4.4425480737807624e-05,4.35236786390201,Not Significant
ACTR10,-0.6191082030991595,0.007296104521911766,0.01118906332070926,1.9512062684023,Not Significant
ACTR1A,-0.6906211811783294,4.234942397543192e-06,1.1772298485885793e-05,4.929138734923622,Not Significant
