Gene,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot
A2M,0.8955029470977163,2.7511202104744206e-10,1.613700028423705e-09,8.79217719334883,1.446368433757403,2.6317141299059844e-14,1.4807303988211566e-13,12.82952400762516
AAAS,1.1704557496581431,2.5300385042800397e-05,7.293218672203411e-05,4.137080764812491,0.6032504798239161,5.753307250394855e-08,1.5020359962217218e-07,6.8233196593603855
AACS,-1.2009675032442733,2.7776193191245936e-10,1.6276809253906336e-09,8.788430725935427,-0.7470636367105177,8.155612536846698e-09,2.3765893307961163e-08,7.624045856882506
AADAT,-0.4707323461991759,1.8370891533093084e-06,6.219132006258464e-06,5.2062702248264205,-1.1812365227786317,7.377721544980464e-08,1.893360541462072e-07,6.722766678028747
AAED1,1.235063243846815,1.3867184084802855e-09,7.361896468304764e-09,8.133010294409061,0.870320082212302,0.0045398798123514,0.0062137552882006,2.2066458542475686
AAGAB,-0.4433360498782761,0.0001695759697462,0.0004312982156645,3.3652223385816824,-0.1612848672599185,0.0679569332523871,0.0810453389349333,1.0912719571639795
AAK1,-0.950401232011446,4.6641480674626975e-21,1.9063730278415262e-19,18.71979211519709,-1.8636892813436592,5.072415426976682e-48,1.5848243260552928e-45,44.80001887127157
AAMDC,0.4774693608489215,5.363120582004963e-07,1.9706162547409096e-06,5.705397939228639,0.5477948031012764,0.0001178595956745,0.0001966330366849,3.706343513743889
AAR2,0.3564641226894895,8.697635482782986e-07,3.101657520720481e-06,5.50840615786754,0.7993566673757001,1.5865618272603338e-07,3.886684410438412e-07,6.410420721619677
AARS,-0.353188113754328,3.243165262212253e-06,1.0631631617354065e-05,4.973400079969959,-0.4404995766218751,1.2018060913994257e-13,6.279919480610754e-13,12.202045924630736
AARSD1,-0.2084100611520476,0.0069256055253921,0.0134217927570277,1.872189471314253,-0.5455920404160333,7.548403238493919e-09,2.2064400255401067e-08,7.656307872853533
AASDHPPT,-0.5633353242761459,2.7231431944034122e-17,5.316219325687555e-16,15.274397110127545,-0.7622734951635248,1.9437515787102528e-19,1.835980960326227e-18,17.73613182687559
