,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
A1BG,-0.1940433739595786,0.5273141267265717,0.5712002701767187,0.2432115958113107,Not Significant,1.2353655801067736,4.677235879244376e-13,2.4613421773030685e-12,11.608828006214123,Up
A2M,2.3859125752154924,2.7594178776529855e-07,9.847104392304702e-07,6.006691457961345,Up,0.9169268771100229,6.891265581363659e-09,2.0418782646289308e-08,7.689970153814183,Not Significant
AAAS,1.0174211283101826,8.740346314370551e-07,2.8095165529983705e-06,5.551368404802513,Up,0.6647781969664949,5.995974900781886e-10,2.0276836498453103e-09,8.692999800740768,Not Significant
AACS,-1.6786073385447011,1.7788533067406037e-13,2.982751656063551e-12,11.525382904496157,Down,-0.7539267874850906,9.125880336366351e-10,3.0051024492640742e-09,8.5221407175409,Not Significant
AADAT,-0.1228117409383955,0.3635541124242176,0.4099903871668609,0.3872263258396049,Not Significant,-1.3855211152296762,4.948425857616941e-10,1.6937903568541514e-09,8.771140344002765,Down
AAED1,1.209738254522783,7.044716219521765e-15,1.8808003890791958e-13,12.725657294041063,Up,0.7982475056718332,0.0075740793936939,0.0105497915708498,1.97675612051074,Not Significant
AAGAB,-0.5729137048720645,0.0029280968676982,0.0048120143303739,2.3176730879836804,Not Significant,-0.2510622399289531,0.0138490293239845,0.0186366575608732,1.7296319746554156,Not Significant
AAK1,-1.5657459965123834,4.026833639149432e-17,2.6341767584929466e-15,14.579355086374042,Down,-1.9555007898104733,3.3227812905124433e-19,1.1606318943940946e-17,16.935305499109216,Down
AAMDC,0.9450981561675248,1.8717500521252385e-08,8.790680664386785e-08,7.0559774961045685,Not Significant,0.6233319271418902,3.835363038501735e-05,7.084701662424944e-05,4.149678433220413,Not Significant
AAMP,0.2080659826792441,0.0766533603984273,0.0984203355408816,1.0069151586749825,Not Significant,-0.2634420739621916,0.0021058803814499,0.0031544263765307,2.5010796044569377,Not Significant
AAR2,1.0847985554053778,9.960497725321196e-18,9.039824692332048e-16,15.04383999163648,Up,0.8792238101069855,3.113698249595317e-09,9.597419330778105e-09,8.017845529572128,Not Significant
AARS,-0.5297563081282988,0.0004513305344589,0.0008562530704594,3.067397858149207,Not Significant,-0.4762794920183519,4.6839767262716315e-11,1.842612008456592e-10,9.734566102830598,Not Significant
AARS2,0.1336093833696026,0.1604286153576048,0.1945537343339967,0.7109604287765401,Not Significant,-0.4580689972807089,3.55730258618347e-05,6.60859586285628e-05,4.179890805838449,Not Significant
AARSD1,0.094633712105324,0.4812968717880105,0.5265621944387943,0.2785503251312244,Not Significant,-0.5371765448118044,3.3919054616576143e-09,1.0393389446686518e-08,7.983242799127853,Not Significant
AASDHPPT,-0.9888913669646904,0.0012040289646685,0.0021149760749906,2.6746945410824647,Not Significant,-0.7176459461044047,4.038119640192769e-15,3.1583179270898165e-14,13.50054415455856,Not Significant
AASS,1.452103458961215,3.155364582331899e-07,1.1149471344234146e-06,5.952745724340031,Up,1.385563232681919,3.799885584242647e-12,1.7431912316607192e-11,10.75865496727932,Up
AATF,0.920783598387807,1.5272095076699514e-13,2.6254451502162265e-12,11.58079705039435,Not Significant,0.740009451470207,3.1246450493424485e-07,7.539274529115797e-07,6.122670442347746,Not Significant
AATK,-2.0417213497427937,2.9924327514582486e-10,2.1244374586462573e-09,8.672756049589585,Down,-2.1290234203676457,9.400875326958997e-19,2.5542223097800025e-17,16.592741306090215,Down
ABAT,-0.6300328444912786,0.0005930940482435,0.0010993246443432,2.958874036032772,Not Significant,-1.461347043243881,9.505214401358275e-11,3.5564261935204266e-10,9.448986199781936,Down
ABCA1,3.453064338485653,5.474911223855268e-12,6.021206950777069e-11,10.22031644569836,Up,0.8637148217391398,9.30075488313834e-10,3.0588169851054334e-09,8.514446506910895,Not Significant
ABCA2,-1.3242661618096427,2.7143438037338763e-06,7.848536015733372e-06,5.105211344475472,Down,-0.9699320927777332,9.659502302812529e-11,3.608964805096039e-10,9.442617353193226,Not Significant
ABCA3,-1.0868110610111437,1.1207895217528086e-14,2.733858024730701e-13,12.56322404305168,Down,-0.7962575883886687,1.7028113502123628e-08,4.7943098037220685e-08,7.319273905700831,Not Significant
ABCA5,-2.00743002019815,4.1553767515688593e-11,3.593241664833021e-10,9.444513573172744,Down,-1.9992302741371375,3.250285838252858e-16,3.4139480615917266e-15,14.46674309034949,Down
ABCA8,0.1859733926167397,0.6868498722970212,0.7247643881345126,0.139803154206289,Not Significant,-0.5828135381958678,0.0010733727198737,0.0016660806205138,2.778303987204655,Not Significant
ABCB1,-0.7380843299669806,0.0096676810007229,0.014499362572768,1.838651089986712,Not Significant,-0.2373524992173634,0.1441463810126155,0.1693284821081497,0.7712699847025225,Not Significant
ABCB10,-0.10894246494572,0.1506512592179558,0.1834474538089795,0.7364883117324218,Not Significant,-0.5445417355361654,5.02305246220032e-07,1.1786508809522797e-06,5.928614814861568,Not Significant
ABCB6,0.2861112736715352,0.237344048791,0.2777653284758984,0.5563219651906588,Not Significant,0.0953603810939427,0.2310312025146007,0.2624758553781357,0.5809106402897034,Not Significant
ABCB7,0.8520923563661498,5.571971069892169e-08,2.3574983854722267e-07,6.627548596016188,Not Significant,-0.0244247605445528,0.8002039658716531,0.8206229636214816,0.0858563342682592,Not Significant
ABCB8,0.1410516811689994,0.3323124626487834,0.3780593730913432,0.422439990159924,Not Significant,-0.9526366081807476,3.029750757189142e-10,1.0672309858403311e-09,8.971741573997132,Not Significant
ABCB9,-1.3267343522581054,1.7480813557541523e-09,1.0426389329702388e-08,7.981866062203505,Down,-1.4713967667475367,7.036710744476134e-12,3.0944284807457567e-11,10.509419550384774,Down
ABCC1,0.5591448821322658,0.0003858734594618,0.0007401540804681,3.1306778622535014,Not Significant,-0.1951008201934961,0.0487929391339214,0.0610880085933351,1.214044032193614,Not Significant
ABCC3,4.756650311337832,6.9797203793035205e-09,3.581951253240125e-08,7.445880328758589,Up,0.3363885399425649,0.0402555057979147,0.0509446273374461,1.2929016102980406,Not Significant
ABCC4,1.139244596029597,2.8899518263837065e-10,2.0618537322230493e-09,8.685742146783602,Up,0.4295805573099116,0.0001395438665371,0.000240681376435,3.618557513482348,Not Significant
ABCD1,1.8922047565688,1.9367179357351863e-08,9.053594656425185e-08,7.043178953447848,Up,0.6361741430025811,3.058496891378793e-06,6.469395273798385e-06,5.189136313075761,Not Significant
