,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
A1BG,-0.1940433739595786,0.5273141267265717,0.5712002701767187,0.2432115958113107,Not Significant,2.072350189846698,6.9426691643892185e-22,7.071060991401896e-21,20.150515416734933,Up
A2M,2.3859125752154924,2.7594178776529855e-07,9.847104392304702e-07,6.006691457961345,Up,1.673717549514252,3.488806364014202e-16,1.9183827492352788e-15,14.717064739554658,Up
AAAS,1.0174211283101826,8.740346314370551e-07,2.8095165529983705e-06,5.551368404802513,Up,0.6036640113314508,2.6909054418560964e-08,6.570404584630567e-08,7.182407887143018,Not Significant
AACS,-1.6786073385447011,1.7788533067406037e-13,2.982751656063551e-12,11.525382904496157,Down,-0.706638625481789,1.208493233650229e-09,3.3851469507710542e-09,8.47042247364834,Not Significant
AADAT,-0.1228117409383955,0.3635541124242176,0.4099903871668609,0.3872263258396049,Not Significant,-1.1646651068278084,7.540872838864059e-09,1.9588955672507112e-08,7.707988716519657,Down
AAED1,1.209738254522783,7.044716219521765e-15,1.8808003890791958e-13,12.725657294041063,Up,0.9608445633097188,0.0023769973905526,0.0033264541325978,2.4780184605230504,Not Significant
AAGAB,-0.5729137048720645,0.0029280968676982,0.0048120143303739,2.3176730879836804,Not Significant,-0.0690986340939742,0.4266149399134749,0.4564797398806908,0.3405784931642438,Not Significant
AAK1,-1.5657459965123834,4.026833639149432e-17,2.6341767584929466e-15,14.579355086374042,Down,-1.9666537976613483,7.548511675800313e-38,1.4752627218879543e-34,33.831130631546166,Down
AAMDC,0.9450981561675248,1.8717500521252385e-08,8.790680664386785e-08,7.0559774961045685,Not Significant,0.5438085755565933,0.0001428378961511,0.0002288440297118,3.6404604133526224,Not Significant
AAMP,0.2080659826792441,0.0766533603984273,0.0984203355408816,1.0069151586749825,Not Significant,-0.4397566884568317,5.289033060703677e-06,1.0017020583854544e-05,4.999261433798568,Not Significant
AAR2,1.0847985554053778,9.960497725321196e-18,9.039824692332048e-16,15.04383999163648,Up,0.8605239301098162,2.269808637761456e-08,5.592056357505088e-08,7.25242846036142,Not Significant
AARS,-0.5297563081282988,0.0004513305344589,0.0008562530704594,3.067397858149207,Not Significant,-0.4555348972660289,4.608445404935346e-13,1.8428470311168656e-12,11.734510712691392,Not Significant
AARS2,0.1336093833696026,0.1604286153576048,0.1945537343339967,0.7109604287765401,Not Significant,-0.2808581959133809,0.0024623473015731,0.0034398836481109,2.4634562469162407,Not Significant
AARSD1,0.094633712105324,0.4812968717880105,0.5265621944387943,0.2785503251312244,Not Significant,-0.6211081865736321,5.411666025193981e-11,1.7597635631441467e-10,9.754545678844725,Not Significant
AASDHPPT,-0.9888913669646904,0.0012040289646685,0.0021149760749906,2.6746945410824647,Not Significant,-0.8843703852244449,8.592910217863314e-22,8.65862560094281e-21,20.062551038848355,Not Significant
AASS,1.452103458961215,3.155364582331899e-07,1.1149471344234146e-06,5.952745724340031,Up,1.0861481034247915,5.818348709631102e-11,1.8821489254693368e-10,9.72534601589778,Up
AATF,0.920783598387807,1.5272095076699514e-13,2.6254451502162265e-12,11.58079705039435,Not Significant,0.6771756567321661,1.7436071564608857e-06,3.4828644965652197e-06,5.458063421763056,Not Significant
AATK,-2.0417213497427937,2.9924327514582486e-10,2.1244374586462573e-09,8.672756049589585,Down,-2.5194654126381626,4.4199727429019205e-25,6.866790489681506e-24,23.16324620301548,Down
ABAT,-0.6300328444912786,0.0005930940482435,0.0010993246443432,2.958874036032772,Not Significant,-2.0382735782404597,3.9384015186584655e-21,3.7132990405539834e-20,19.43024007462709,Down
ABCA1,3.453064338485653,5.474911223855268e-12,6.021206950777069e-11,10.22031644569836,Up,1.400579842080425,4.897662323332555e-16,2.649676045923522e-15,14.576807220428494,Up
ABCA2,-1.3242661618096427,2.7143438037338763e-06,7.848536015733372e-06,5.105211344475472,Down,-1.0351245209537192,1.225558436476414e-11,4.255115999093727e-11,10.371088596077715,Down
